id;nome;numquestoes;enunciado;texto
1;Forward;99308;Central;Dalasi Senegal Valleys
2;transmitter fault-tolerant Virtual;24725;hard drive;Intelligent
3;Honduras online database;23889;Designer Ergonomic Plastic Pants Timor-Leste;Licensed synthesize Awesome
4;mobile;22679;Switzerland deliver virtual;Vatu HDD
5;sensor;37991;XML;deposit
6;Beauty capacity;68611;neutral;Saudi Riyal Investment Account Synergized
7;payment programming Industrial;81028;Israel input;Prairie azure Creative
8;Reverse-engineered;85057;New Jersey Mouse;Pataca
9;invoice;23441;interface SDR;optical Tasty
10;Freeway;69298;parse Borders Dynamic;Frozen
